list_number,name,role_org,connection_to_solomon,category,subcategory
15,Jaan Tallinn,"Co-founder, Skype; Co-founder, Centre for the Study of Existential Risk",Major funder of AI safety research; his philanthropic network connects to foundations Solomon could engage.,Category 1: AI Alignment & Safety,
16,Andrew Critch,"Research Scientist, UC Berkeley; Co-founder, BERI",Works on multi-agent AI safety — directly relevant to Solomon's concern about AI systems interacting with and disrupting institutions.,Category 1: AI Alignment & Safety,
17,Evan Hubinger,"Research Scientist, Anthropic",Leading researcher on deceptive alignment and inner misalignment; his technical work informs how Solomon might detect AI systems acting against institutional interests.,Category 1: AI Alignment & Safety,
18,Beth Barnes,"Founder, Model Evaluation and Threat Research (METR)",Develops evaluations for dangerous AI capabilities; her frameworks could help Solomon assess AI threats to institutions.,Category 1: AI Alignment & Safety,
19,Neel Nanda,"Mechanistic Interpretability researcher, Google DeepMind",Works on understanding how AI models actually think; this transparency research is essential for Solomon's goal of trustworthy AI.,Category 1: AI Alignment & Safety,
20,Chris Olah,"Co-founder, Anthropic; Interpretability researcher",Pioneer of neural network interpretability; his work on making AI systems understandable supports Solomon's mission of AI accountability.,Category 1: AI Alignment & Safety,
21,Ajeya Cotra,"Senior Program Officer, Open Philanthropy",Developed influential AI timelines forecast; shapes major funding decisions in AI safety that could support Solomon-aligned work.,Category 1: AI Alignment & Safety,
22,Katja Grace,"Founder, AI Impacts",Conducts quantitative research on AI progress and societal impacts; her data-driven approach could inform Solomon's strategy.,Category 1: AI Alignment & Safety,
23,Allan Dafoe,"President, Centre for the Governance of AI (GovAI)",Leads research on AI governance frameworks; directly relevant to Solomon's concern with protecting civic institutions from AI disruption.,Category 1: AI Alignment & Safety,
24,Lennart Heim,"AI Governance researcher, RAND Corporation",Expert on compute governance and AI regulation; his policy work intersects with Solomon's institutional protection goals.,Category 1: AI Alignment & Safety,
25,Jack Clark,"Co-founder, Anthropic; Creator of the AI Index",Tracks AI progress through the Stanford AI Index; his data and policy advocacy connect to Solomon's evidence-based approach.,Category 1: AI Alignment & Safety,
26,Miles Brundage,"Former Head of Policy Research, OpenAI",Researches AI governance and the societal implications of AI progress; his work on responsible publication norms relates to Solomon's mission.,Category 1: AI Alignment & Safety,
27,Divya Siddarth,"Co-founder, Collective Intelligence Project",Works on democratic governance of AI systems; directly aligned with Solomon's goal of protecting civic institutions and democratic processes.,Category 1: AI Alignment & Safety,
28,Luke Muehlhauser,"Program Officer, Open Philanthropy; former Executive Director, MIRI",Bridges technical AI safety and philanthropic strategy; his grant-making influences which AI safety projects get funded.,Category 1: AI Alignment & Safety,
29,David Krueger,"Assistant Professor, University of Cambridge",Researches AI alignment and the risks of advanced AI; his academic work on goal misgeneralization informs Solomon's design challenges.,Category 1: AI Alignment & Safety,
30,Jacob Steinhardt,"Assistant Professor, UC Berkeley",Leads research on AI robustness and forecasting; his work on predicting AI capabilities is relevant to Solomon's preparedness mission.,Category 1: AI Alignment & Safety,
31,Victoria Krakovna,"Research Scientist, Google DeepMind; Co-founder, Future of Life Institute",Works on AI safety side effects and specification gaming; her research catalogs ways AI can undermine intended goals — central to Solomon's concerns.,Category 1: AI Alignment & Safety,
32,Rohin Shah,"Research Scientist, Google DeepMind",Works on value alignment and AI safety; his research on reward modeling informs how Solomon might align AI with institutional preservation.,Category 1: AI Alignment & Safety,
33,Sam Bowman,"Associate Professor, NYU; former Anthropic researcher",Bridges NLP research and AI safety; his work on language model evaluation relates to Solomon's need for trustworthy AI communication.,Category 1: AI Alignment & Safety,
34,Percy Liang,"Associate Professor, Stanford; Director, Center for Research on Foundation Models (CRFM)",Leads the HELM benchmark for foundation models; his transparency work supports Solomon's goal of accountable AI systems.,Category 1: AI Alignment & Safety,
35,Arvind Narayanan,"Professor of Computer Science, Princeton; Author of *AI Snake Oil*",Debunks AI hype while identifying real risks; his rigorous approach to AI claims aligns with Solomon's evidence-based mission.,Category 1: AI Alignment & Safety,
36,Yoshua Bengio's Lab Associates — Sébastien Bubeck,"Researcher, Microsoft Research",Works on emergent capabilities of large language models; understanding these emergent behaviors is key to Solomon's institutional risk assessment.,Category 1: AI Alignment & Safety,
37,Nathan Lebenz,"Host, *The Cognitive Revolution* podcast",Accessible bridge figure who interviews AI safety researchers and translates complex alignment concepts for broader audiences; potential amplifier for Solomon's message.,Category 1: AI Alignment & Safety,
38,Rob Bensinger,"Communications Lead, MIRI",Translates technical AI alignment research into accessible narratives; his communications expertise could help Solomon reach broader audiences.,Category 1: AI Alignment & Safety,
39,Oliver Zhang,"Research Analyst, Centre for the Governance of AI",Emerging voice in AI governance research; more accessible than senior figures and connected to the Oxford/GovAI network.,Category 1: AI Alignment & Safety,
40,Rumman Chowdhury,"CEO, Humane Intelligence; former Director of ML Ethics, Twitter",Bridges AI ethics practice and policy; her experience implementing responsible AI at scale informs Solomon's institutional approach.,Category 1: AI Alignment & Safety,
41,Peter Diamandis,"Founder, XPRIZE & Singularity University; Host, *Moonshots & Mindsets* podcast","Massive platform for technology optimism; engaging him on Solomon reframes AI protection as a moonshot opportunity, not just risk mitigation.",Category 2: Futurists & Tech Visionaries,
42,Ray Kurzweil,"Director of Engineering, Google; Author of *The Singularity Is Nearer*",The most prominent AI futurist; his optimistic timeline forces Solomon to articulate why institutional protection is needed even in optimistic scenarios.,Category 2: Futurists & Tech Visionaries,
43,Amy Webb,"Founder, Future Today Institute; Author of *The Genesis Machine*",Annual tech trend forecaster with corporate and government audience; her strategic foresight methodology could frame Solomon's institutional protection agenda.,Category 2: Futurists & Tech Visionaries,
44,Azeem Azhar,"Founder, Exponential View; Author of *The Exponential Age*","Influential newsletter and podcast reaching tech leaders and policymakers; his ""exponential gap"" thesis (technology outpacing institutions) is exactly Solomon's concern.",Category 2: Futurists & Tech Visionaries,
45,Kevin Kelly,"Co-founder, Wired; Author of *The Inevitable*","Shapes how mainstream culture understands technology trends; his ""technium"" framework could incorporate Solomon's institutional protection as necessary co-evolution.",Category 2: Futurists & Tech Visionaries,
46,Martin Ford,Author of *Rise of the Robots* and *Rule of the Robots*,Focuses specifically on AI's economic and social disruption; his analysis of institutional stress from automation directly parallels Solomon's mission.,Category 2: Futurists & Tech Visionaries,
47,Kai-Fu Lee,"CEO, Sinovation Ventures; Author of *AI Superpowers*",Bridges US-China AI perspectives; his focus on AI's social impact and displacement aligns with Solomon's concern for institutional resilience.,Category 2: Futurists & Tech Visionaries,
48,Vivek Wadhwa,"Distinguished Fellow, Harvard Law School; Author of *Your Happiness Was Hacked*",Writes about technology's impact on society and individual wellbeing; his accessible style could help popularize Solomon's message.,Category 2: Futurists & Tech Visionaries,
49,Mustafa Suleyman,"CEO, Microsoft AI; Co-founder, DeepMind; Author of *The Coming Wave*","His ""containment"" thesis argues AI is fundamentally difficult to control; Solomon's institutional approach offers a complementary response to his framework.",Category 2: Futurists & Tech Visionaries,
50,Reid Hoffman,"Co-founder, LinkedIn; Author of *Impromptu: Amplifying Our Humanity Through AI*",Major Silicon Valley networker who is engaged with AI's future; his broad influence and interest in AI's social dimensions make him a key flywheel node.,Category 2: Futurists & Tech Visionaries,
51,Tim Urban,"Creator, Wait But Why",His multi-part series on AI reached millions; his ability to make complex topics accessible could amplify Solomon's message to a massive audience.,Category 2: Futurists & Tech Visionaries,
52,Emad Mostaque,"Founder, Stability AI (former CEO)",Advocates for open-source AI and democratized access; his vision intersects with Solomon's concern about concentrating AI power away from institutions.,Category 2: Futurists & Tech Visionaries,
53,Tristan Harris,"Co-founder, Center for Humane Technology; featured in *The Social Dilemma*","Directly focused on technology's harm to social institutions; his framework of ""race to the bottom of the brain stem"" extends naturally to Solomon's AI concerns.",Category 2: Futurists & Tech Visionaries,
54,Aza Raskin,"Co-founder, Center for Humane Technology",Works alongside Tristan Harris on technology's institutional harms; his design background brings practical solutions to Solomon's mission.,Category 2: Futurists & Tech Visionaries,
55,Daniel Schmachtenberger,"Founding member, The Consilience Project","Focuses on existential risk and civilizational design; his ""metacrisis"" framework encompasses exactly the institutional threats Solomon addresses.",Category 2: Futurists & Tech Visionaries,
56,Nita Farahany,"Professor of Law & Philosophy, Duke; Author of *The Battle for Your Brain*",Expert on neurotechnology and cognitive liberty; her work on protecting human autonomy from technology parallels Solomon's institutional protection mission.,Category 2: Futurists & Tech Visionaries,
57,Juan Enriquez,"Managing Director, Excel Venture Management; TED speaker","Explores how technology reshapes human societies; his ""evolving ourselves"" thesis connects to Solomon's concern about AI-driven institutional evolution.",Category 2: Futurists & Tech Visionaries,
58,Jamie Metzl,"Senior Fellow, Atlantic Council; Author of *Hacking Darwin*",Bridges geopolitics and emerging technology; his policy network and focus on technology governance align with Solomon's civic mission.,Category 2: Futurists & Tech Visionaries,
59,Alec Ross,"Author of *The Industries of the Future*; former Senior Advisor for Innovation, State Department",Bridges technology and government policy; his experience translating tech trends for policymakers is directly relevant to Solomon's institutional focus.,Category 2: Futurists & Tech Visionaries,
60,David Autor,"Professor of Economics, MIT",Leading researcher on automation's impact on labor markets and inequality; his empirical work quantifies exactly the institutional disruption Solomon aims to mitigate.,Category 2: Futurists & Tech Visionaries,
61,Daron Acemoglu,"Institute Professor, MIT; Nobel Prize in Economics (2024)",Research on how technology and institutions co-evolve; his framework in *Power and Progress* argues technology must be directed toward broad benefit — Solomon's core thesis.,Category 2: Futurists & Tech Visionaries,
62,Erik Brynjolfsson,"Director, Stanford Digital Economy Lab; Co-author, *The Second Machine Age*",Documents how digital technologies transform economic institutions; his research directly informs Solomon's understanding of institutional disruption.,Category 2: Futurists & Tech Visionaries,
63,Andrew McAfee,"Principal Research Scientist, MIT; Co-author, *The Second Machine Age*",Studies technology's impact on organizations and society; his work on institutional adaptation to automation aligns with Solomon's mission.,Category 2: Futurists & Tech Visionaries,
64,Ramez Naam,"Author of the *Nexus* trilogy; former partner, Apex Ventures",Science fiction writer and clean tech investor who imagines AI futures; his narrative skills could help communicate Solomon's vision.,Category 2: Futurists & Tech Visionaries,
65,Steven Johnson,"Author of *Where Good Ideas Come From*; Host, PBS's *Extra Life*",Popularizes innovation history and emergence; his platform could frame Solomon as the next necessary institutional innovation.,Category 2: Futurists & Tech Visionaries,
66,Jason Silva,"Host, National Geographic's *Brain Games*; futurist media personality",Reaches mainstream audiences with technology narratives; could amplify Solomon's message beyond the typical AI safety echo chamber.,Category 2: Futurists & Tech Visionaries,
67,Balaji Srinivasan,Angel investor; Author of *The Network State*,Provocative thinker about how technology reshapes governance and institutions; his large following could be engaged on Solomon's institutional protection thesis.,Category 2: Futurists & Tech Visionaries,
68,Ian Bremmer,"President, Eurasia Group; Author of *The Power of Crisis*",Frames AI governance as a geopolitical challenge; his network of world leaders and policymakers could amplify Solomon's institutional message.,Category 2: Futurists & Tech Visionaries,
69,Parag Khanna,"Founder, Climate Alpha; Author of *Move*",Studies how technology reshapes global systems and governance; his strategic advisory work reaches decision-makers Solomon needs to influence.,Category 2: Futurists & Tech Visionaries,
70,Jaron Lanier,"Interdisciplinary scientist, Microsoft; Author of *Ten Arguments for Deleting Your Social Media Accounts Right Now*",Pioneer VR inventor turned tech critic; his unique credibility as both insider and critic makes him ideal for Solomon's nuanced message.,Category 2: Futurists & Tech Visionaries,
71,Timnit Gebru,"Founder, Distributed AI Research Institute (DAIR)",Leading voice on AI harms to marginalized communities; her work on algorithmic bias in institutions directly parallels Solomon's protective mission.,Category 3: AI Ethics Scholars & Advocates,
72,Joy Buolamwini,"Founder, Algorithmic Justice League; Researcher, MIT Media Lab","Exposed facial recognition bias; her ""coded gaze"" framework demonstrates how AI already damages institutional fairness — exactly what Solomon aims to prevent.",Category 3: AI Ethics Scholars & Advocates,
73,Kate Crawford,"Research Professor, USC; Author of *Atlas of AI*",Maps AI's full supply chain of social and environmental harms; her systemic analysis informs Solomon's approach to institutional protection.,Category 3: AI Ethics Scholars & Advocates,
74,Meredith Whittaker,"President, Signal; Co-founder, AI Now Institute",Combines technical expertise with institutional critique of AI power; her advocacy for structural accountability aligns with Solomon's goals.,Category 3: AI Ethics Scholars & Advocates,
75,Safiya Umoja Noble,"Professor, UCLA; Author of *Algorithms of Oppression*",Documents how search algorithms reinforce racial and social biases within educational and information institutions; directly relevant to Solomon's educational mission.,Category 3: AI Ethics Scholars & Advocates,
76,Ruha Benjamin,"Professor of African American Studies, Princeton; Author of *Race After Technology*","Coined ""New Jim Code"" to describe discriminatory technology design; her framework for equitable technology aligns with Solomon's institutional justice goals.",Category 3: AI Ethics Scholars & Advocates,
77,Cathy O'Neil,Author of *Weapons of Math Destruction*; Data scientist,"Exposed how algorithmic decision-making damages educational, criminal justice, and financial institutions; her audit methodology could inform Solomon's approach.",Category 3: AI Ethics Scholars & Advocates,
78,Emily M. Bender,"Professor of Linguistics, University of Washington","Co-author of the ""Stochastic Parrots"" paper; her critique of large language models' limitations is relevant to Solomon's concern about AI undermining educational integrity.",Category 3: AI Ethics Scholars & Advocates,
79,Margaret Mitchell,"Chief Ethics Scientist, Hugging Face; former Google AI Ethics co-lead",Pioneer of AI model cards and documentation; her transparency frameworks support Solomon's goal of accountable AI in institutions.,Category 3: AI Ethics Scholars & Advocates,
80,Abeba Birhane,"Senior Fellow in Trustworthy AI, Mozilla Foundation",Studies values embedded in AI datasets; her work on how AI systems encode and perpetuate power structures informs Solomon's institutional analysis.,Category 3: AI Ethics Scholars & Advocates,
81,Os Keyes,"Researcher, University of Washington",Studies how AI classification systems affect marginalized communities; their work on institutional violence through technology informs Solomon's protective mission.,Category 3: AI Ethics Scholars & Advocates,
82,Deborah Raji,"CS PhD, UC Berkeley; Fellow, Mozilla Foundation",Developed frameworks for auditing AI systems; her work on accountability mechanisms directly supports Solomon's institutional oversight goals.,Category 3: AI Ethics Scholars & Advocates,
83,Rediet Abebe,"Assistant Professor, UC Berkeley; Co-founder, Black in AI",Applies algorithmic methods to social problems; her bridging of technical and social approaches exemplifies Solomon's interdisciplinary mission.,Category 3: AI Ethics Scholars & Advocates,
84,Sasha Costanza-Chock,"Associate Professor, Northeastern; Author of *Design Justice*",Develops frameworks for equitable technology design centered on community needs; their approach could shape Solomon's institutional engagement methodology.,Category 3: AI Ethics Scholars & Advocates,
85,Virginia Eubanks,"Associate Professor, University at Albany; Author of *Automating Inequality*",Documents how automated systems harm public institutions serving vulnerable populations; her case studies illustrate exactly the damage Solomon aims to prevent.,Category 3: AI Ethics Scholars & Advocates,
86,Frank Pasquale,"Professor of Law, Cornell; Author of *The Black Box Society*",Legal scholar focused on algorithmic accountability; his regulatory frameworks could inform Solomon's approach to institutional AI governance.,Category 3: AI Ethics Scholars & Advocates,
87,Woodrow Hartzog,"Professor of Law, Boston University","Expert on privacy, technology, and design law; his work on ""privacy's blueprint"" informs Solomon's approach to protecting individual rights within institutions.",Category 3: AI Ethics Scholars & Advocates,
88,Ryan Calo,"Professor of Law, University of Washington; Co-founder, AI Policy Lab",Leading AI law scholar; his work on legal frameworks for AI accountability directly supports Solomon's institutional governance mission.,Category 3: AI Ethics Scholars & Advocates,
89,Amba Kak,"Executive Director, AI Now Institute",Leads one of the foremost AI accountability research institutes; her policy work on regulating AI systems aligns with Solomon's institutional focus.,Category 3: AI Ethics Scholars & Advocates,
90,Sarah Myers West,"Managing Director, AI Now Institute",Researches the political economy of AI; her analysis of AI's impact on labor and democratic institutions directly informs Solomon's mission.,Category 3: AI Ethics Scholars & Advocates,
91,Roel Dobbe,"Assistant Professor, TU Delft; former AI Now researcher","Studies AI systems in high-stakes institutional settings (healthcare, criminal justice); his applied safety research aligns with Solomon's practical goals.",Category 3: AI Ethics Scholars & Advocates,
92,Solon Barocas,"Principal Researcher, Microsoft Research; Adjunct Professor, Cornell",Research on fairness and accountability in algorithmic decision-making; his work on discrimination in automated systems informs Solomon's anti-harm approach.,Category 3: AI Ethics Scholars & Advocates,
93,Moritz Hardt,"Director, Max Planck Institute for Intelligent Systems; Co-author, *Fairness and Machine Learning*",Foundational researcher in algorithmic fairness; his technical frameworks for measuring AI harm could be deployed in Solomon's institutional assessments.,Category 3: AI Ethics Scholars & Advocates,
94,Arvind Satyanarayan,"Associate Professor, MIT CSAIL",Builds visualization tools for understanding AI models; his transparency technology supports Solomon's goal of making AI comprehensible to institutional stakeholders.,Category 3: AI Ethics Scholars & Advocates,
95,Sandra Wachter,"Professor, Oxford Internet Institute","Expert on data ethics, AI regulation, and GDPR; her legal scholarship on algorithmic accountability is directly relevant to Solomon's governance framework.",Category 3: AI Ethics Scholars & Advocates,
96,Brent Mittelstadt,"Associate Professor, Oxford Internet Institute",Researches the ethics of algorithms and AI governance; his work on institutional responses to AI informs Solomon's strategy.,Category 3: AI Ethics Scholars & Advocates,
97,"Jobin, Ienca & Vayena (Anna Googled Ethics Research Group, ETH Zurich)",,Mapped the global landscape of AI ethics guidelines; their comparative analysis reveals gaps in institutional protection that Solomon could fill.,Category 3: AI Ethics Scholars & Advocates,
98,Elettra Bietti,"Assistant Professor, Northeastern University School of Law",Studies antitrust and AI governance; her work on concentrated AI power and its impact on democratic institutions aligns with Solomon's concerns.,Category 3: AI Ethics Scholars & Advocates,
99,Rishi Bommasani,"PhD Researcher, Stanford CRFM",Lead author of the foundational model research report; his comprehensive analysis of foundation model risks informs Solomon's institutional threat assessment.,Category 3: AI Ethics Scholars & Advocates,
100,Renée DiResta,"Research Manager, Stanford Internet Observatory",Expert on computational propaganda and information ecosystem integrity; her work on protecting information institutions from manipulation is core to Solomon's mission.,Category 3: AI Ethics Scholars & Advocates,
101,Darren Walker,"President, Ford Foundation","Leads one of the largest foundations focused on inequality and democratic institutions; his commitment to ""disrupting disruption"" aligns directly with Solomon's mission.",Category 4: Foundation & Philanthropy Leaders,
102,John Palfrey,"President, MacArthur Foundation",Oversees major grants in technology and society; former Harvard law professor focused on digital governance and institutional resilience.,Category 4: Foundation & Philanthropy Leaders,
103,Larry Kramer,"President, William and Flora Hewlett Foundation","Foundation has invested heavily in ""effective governance"" and technology accountability; his background in constitutional law connects to Solomon's civic protection goals.",Category 4: Foundation & Philanthropy Leaders,
104,Eric Schmidt,"Co-founder, Schmidt Futures; former CEO, Google",Massive philanthropic investment in AI and society; his Schmidt Futures initiative funds AI governance research directly relevant to Solomon.,Category 4: Foundation & Philanthropy Leaders,
105,Zia Khan,"Senior Vice President of Innovation, Rockefeller Foundation","Leads the foundation's technology and innovation strategy; his focus on ""precision public health"" and data for social good parallels Solomon's approach.",Category 4: Foundation & Philanthropy Leaders,
106,Pierre Omidyar,"Founder, Omidyar Network",Major funder of responsible technology and democratic resilience; his philanthropic portfolio directly targets the institutional threats Solomon addresses.,Category 4: Foundation & Philanthropy Leaders,
107,Eli Pariser,"Co-director, New_ Public; Author of *The Filter Bubble*",Builds tools for healthier digital public spaces; his work on restoring civic infrastructure online is directly aligned with Solomon's mission.,Category 4: Foundation & Philanthropy Leaders,
108,Craig Newmark,"Founder, Craigslist; Philanthropist (Craig Newmark Philanthropies)",Major funder of journalism and civic technology; his focus on protecting democratic infrastructure from digital threats parallels Solomon's goals.,Category 4: Foundation & Philanthropy Leaders,
109,Laura Arnold,"Co-founder, Arnold Ventures",Funds criminal justice reform and evidence-based policy; her foundation's focus on institutional accountability intersects with Solomon's AI governance concerns.,Category 4: Foundation & Philanthropy Leaders,
110,Jeff Skoll,"Founder, Skoll Foundation; Co-founder, Participant Media",Pioneer of social entrepreneurship funding; his foundation supports systems-change organizations aligned with Solomon's institutional protection mission.,Category 4: Foundation & Philanthropy Leaders,
111,Sally Osberg,"Former CEO, Skoll Foundation",Shaped the social entrepreneurship field; her network of social innovators could be activated for Solomon's institutional resilience work.,Category 4: Foundation & Philanthropy Leaders,
112,Connie Ballmer,"Co-founder, Ballmer Group",Focuses philanthropy on economic mobility and children's services; AI disruption to education and social services is core to Solomon's concerns.,Category 4: Foundation & Philanthropy Leaders,
113,Laurene Powell Jobs,"Founder, Emerson Collective","Invests in education, immigration, and media; her portfolio targets institutions that Solomon aims to protect from AI disruption.",Category 4: Foundation & Philanthropy Leaders,
114,Mark Surman,"President, Mozilla Foundation",Leads a major foundation focused on internet health and trustworthy AI; Mozilla's Responsible AI Challenge directly supports Solomon-aligned work.,Category 4: Foundation & Philanthropy Leaders,
115,Nneka Rimmer,"Director, Patrick J. McGovern Foundation",Foundation focuses specifically on AI and data for social impact; one of the few foundations with dedicated AI-for-good programming.,Category 4: Foundation & Philanthropy Leaders,
116,Vilas Dhar,"President, Patrick J. McGovern Foundation","Leads the foundation's AI and data strategy; his vision of ""responsible AI ecosystems"" aligns with Solomon's institutional approach.",Category 4: Foundation & Philanthropy Leaders,
117,Emma Tompkins,"Program Officer, Hewlett Foundation (Technology & Society)",Manages grants for AI accountability research; a key gatekeeper for funding Solomon-adjacent work.,Category 4: Foundation & Philanthropy Leaders,
118,Jonathan Kartt,"Executive Director, Tech Nonprofit Foundation (TechSoup)",Connects technology resources to nonprofits globally; his network could help Solomon reach institutional stakeholders at scale.,Category 4: Foundation & Philanthropy Leaders,
119,Gideon Malherbe,"Partner, Dalberg Advisors (AI for Development practice)",Advises foundations and governments on AI for social impact; his consulting network bridges philanthropy and institutional AI deployment.,Category 4: Foundation & Philanthropy Leaders,
120,Kevin Frazier,"Assistant Professor, St. Thomas Law; AI policy researcher",Emerging voice connecting AI governance to democratic institutions; his accessible scholarship bridges academy and policy — more reachable than senior figures.,Category 4: Foundation & Philanthropy Leaders,
121,Alexander Berger,"Co-CEO, Open Philanthropy",Oversees massive AI safety and governance grantmaking; his funding decisions shape which institutional protection projects get resourced.,Category 4: Foundation & Philanthropy Leaders,
122,Dustin Moskovitz,"Co-founder, Facebook; Co-founder, Good Ventures/Open Philanthropy",Major AI safety funder; his philanthropic platform could direct significant resources toward Solomon's institutional protection mission.,Category 4: Foundation & Philanthropy Leaders,
123,Cari Tuna,"President, Good Ventures; Co-founder, Open Philanthropy",Co-directs one of the largest foundations funding AI safety and governance research.,Category 4: Foundation & Philanthropy Leaders,
124,Patrick Collison,"CEO, Stripe; Co-founder, Arc Institute",Funds scientific research and institutional innovation; his interest in improving institutions through technology parallels Solomon's constructive approach.,Category 4: Foundation & Philanthropy Leaders,
125,Sam Bankman-Fried (cautionary case — his former associates),,The EA/AI safety funding ecosystem he disrupted still has active players; contacts like **Nick Beckstead** (former FTX Foundation) and **Leopold Aschenbrenner** remain influential.,Category 4: Foundation & Philanthropy Leaders,
126,Leopold Aschenbrenner,"Former OpenAI researcher; Author of ""Situational Awareness""",His influential essay on AI timelines and national security has shaped policy thinking; his framework for AI's institutional implications connects to Solomon.,Category 4: Foundation & Philanthropy Leaders,
127,Jason Matheny,"President, RAND Corporation; former Director, IARPA",Bridges intelligence community and AI policy research; RAND's work on AI's societal impact directly informs Solomon's threat assessment.,Category 4: Foundation & Philanthropy Leaders,
128,William MacAskill,"Associate Professor, Oxford; Author of *What We Owe the Future*",Co-founder of effective altruism movement; his longtermist framework positions institutional protection from AI as a moral priority.,Category 4: Foundation & Philanthropy Leaders,
129,Luke Freeman,"Executive Director, Giving What We Can",Connects effective altruism donors to high-impact causes; could channel philanthropic resources toward Solomon's mission.,Category 4: Foundation & Philanthropy Leaders,
130,Brigitte Hoyer Gosselink,"Head of Impact, Google.org",Directs Google's $100M+ annual giving in technology for social good; her programs fund exactly the kind of institutional support Solomon provides.,Category 4: Foundation & Philanthropy Leaders,
131,Justin Rockefeller,"Co-founder, The ImPact; Trustee, Rockefeller Brothers Fund",Bridges old-money philanthropy and impact investing; his network could connect Solomon to major institutional funders.,Category 4: Foundation & Philanthropy Leaders,
132,Laura Arrillaga-Andreessen,"Founder, Stanford PACS (Center on Philanthropy and Civil Society)",Shapes how Silicon Valley engages with philanthropy; her academic platform could legitimize Solomon's approach within tech philanthropy circles.,Category 4: Foundation & Philanthropy Leaders,
133,Clara Tsao,"Co-founder, FilecoinFoundation for the Decentralized Web",Works at intersection of technology and public interest infrastructure; her experience with technology governance informs Solomon's institutional approach.,Category 4: Foundation & Philanthropy Leaders,
134,Tara Dawson McGuinness,"Co-founder, New America's New Practice Lab; Author of *Power to the Public*",Expert on making government services work with technology; her practical approach to institutional technology adoption aligns with Solomon's mission.,Category 4: Foundation & Philanthropy Leaders,
135,Anne-Marie Slaughter,"CEO, New America",Leads a major think tank focused on technology and public policy; her platform and network reach the institutional leaders Solomon needs to engage.,Category 4: Foundation & Philanthropy Leaders,
136,Fei-Fei Li,"Professor, Stanford; Co-founder, AI4ALL; former Stanford HAI Co-director",Pioneer of AI education equity through AI4ALL; her institutional influence and commitment to human-centered AI directly supports Solomon's mission.,Category 5: Nonprofit AI & AI-for-Social-Good,
137,James Manyika,"SVP, Research, Technology & Society, Google; former McKinsey Global Institute Director",Bridges corporate AI research and societal impact assessment; his economic analyses of AI disruption inform Solomon's institutional focus.,Category 5: Nonprofit AI & AI-for-Social-Good,
